"","ID","List","Type","Pair.x","Word","Correct.x","Confidence.x","Tiredness","Enjoyment","Pair.y","Correct.y","Confidence.y","Select1","Select2","Select3"
"109",2464916,1,"MP",34,"lonay",1,6,5,6,34,0,3,FALSE,FALSE,FALSE
"110",2464916,1,"MP",39,"bovy",1,6,4,5,39,0,2,FALSE,FALSE,FALSE
"111",2464916,1,"MP",47,"vazan",1,6,5,6,47,1,3,FALSE,FALSE,FALSE
"112",2464916,1,"MP",48,"cyche",1,8,4,7,48,1,3,FALSE,FALSE,FALSE
"113",2464916,1,"MP",49,"rodder",1,7,5,5,49,0,2,FALSE,FALSE,FALSE
"114",2464916,1,"MP",51,"forem",1,6,4,6,51,0,1,FALSE,FALSE,FALSE
"115",2464916,1,"MP",53,"reebin",1,8,4,7,53,1,4,FALSE,FALSE,FALSE
"116",2464916,1,"MP",55,"heco",1,6,5,6,55,0,4,FALSE,FALSE,FALSE
"117",2464916,1,"MP",61,"raymive",0,5,4,5,61,1,2,FALSE,FALSE,FALSE
"118",2464916,1,"MP",62,"ceakie",1,6,5,6,62,1,1,FALSE,FALSE,FALSE
"119",2464916,1,"MP",64,"coctee",1,8,4,7,64,1,3,FALSE,FALSE,FALSE
"120",2464916,1,"MP",67,"lopel",0,8,5,6,67,1,3,FALSE,FALSE,FALSE
"121",2479106,1,"MM",2,"cavy",1,7,6,8,2,1,7,FALSE,FALSE,FALSE
"122",2479106,1,"MM",3,"perste",0,6,9,5,3,0,8,FALSE,FALSE,FALSE
"123",2479106,1,"MM",5,"muden",1,9,7,8,5,1,1,FALSE,FALSE,FALSE
"124",2479106,1,"MM",9,"pidekin",1,8,5,7,9,1,7,FALSE,FALSE,FALSE
"125",2479106,1,"MM",20,"bipin",1,9,9,9,20,1,9,FALSE,FALSE,FALSE
"126",2479106,1,"MM",24,"fofry",0,6,2,6,24,1,4,FALSE,FALSE,FALSE
"127",2479106,1,"MM",25,"ruter",1,6,4,5,25,1,4,FALSE,FALSE,FALSE
"128",2479106,1,"MM",30,"fupon",1,8,4,4,30,1,6,FALSE,FALSE,FALSE
"129",2479106,1,"MM",36,"tuyete",1,8,5,7,36,1,2,FALSE,FALSE,FALSE
"130",2479106,1,"MM",37,"fucend",1,7,5,7,37,1,6,FALSE,FALSE,FALSE
"131",2479106,1,"MM",41,"haddan",1,7,2,7,41,0,8,FALSE,FALSE,FALSE
"132",2479106,1,"MM",43,"pendee",1,8,5,6,43,0,6,FALSE,FALSE,FALSE
"133",2479106,1,"MM",45,"tanay",1,8,2,5,45,0,8,FALSE,FALSE,FALSE
"134",2479106,1,"MM",46,"mumic",1,7,1,8,46,0,8,FALSE,FALSE,FALSE
"135",2479106,1,"MM",50,"saper",1,8,3,5,50,0,7,FALSE,FALSE,FALSE
"136",2479106,1,"MM",54,"meapon",0,6,4,5,54,0,6,FALSE,FALSE,FALSE
"137",2479106,1,"MM",56,"counger",1,9,6,9,56,1,4,FALSE,FALSE,FALSE
"138",2479106,1,"MM",59,"hapel",1,9,7,9,59,0,6,FALSE,FALSE,FALSE
"139",2479106,1,"MM",63,"bemble",1,5,5,5,63,1,7,FALSE,FALSE,FALSE
"140",2479106,1,"MM",65,"miggir",1,9,5,7,65,1,7,FALSE,FALSE,FALSE
"141",2479106,1,"MP",1,"winpen",1,7,4,7,1,0,5,FALSE,FALSE,FALSE
"142",2479106,1,"MP",4,"domine",0,8,7,8,4,0,6,FALSE,FALSE,FALSE
"143",2479106,1,"MP",7,"mizar",1,8,5,8,7,0,7,FALSE,FALSE,FALSE
"144",2479106,1,"MP",14,"oser",0,5,3,6,14,0,8,FALSE,FALSE,FALSE
"145",2479106,1,"MP",19,"furets",1,5,5,6,19,1,9,FALSE,FALSE,FALSE
"146",2479106,1,"MP",23,"peney",1,6,4,6,23,0,9,FALSE,FALSE,FALSE
"147",2479106,1,"MP",27,"teson",1,9,8,7,27,1,9,FALSE,FALSE,FALSE
"148",2479106,1,"MP",32,"goler",0,6,6,5,32,0,4,FALSE,FALSE,FALSE
"149",2479106,1,"MP",34,"lonay",1,9,2,9,34,1,6,FALSE,FALSE,FALSE
"150",2479106,1,"MP",39,"bovy",0,3,2,3,39,0,6,FALSE,FALSE,FALSE
"151",2479106,1,"MP",47,"vazan",1,8,3,8,47,1,9,FALSE,FALSE,FALSE
"152",2479106,1,"MP",48,"cyche",1,8,3,8,48,1,7,FALSE,FALSE,FALSE
"153",2479106,1,"MP",49,"rodder",1,8,5,5,49,0,5,FALSE,FALSE,FALSE
"154",2479106,1,"MP",51,"forem",1,9,7,8,51,1,5,FALSE,FALSE,FALSE
"155",2479106,1,"MP",53,"reebin",0,6,4,6,53,0,6,FALSE,FALSE,FALSE
"156",2479106,1,"MP",55,"heco",1,9,8,9,55,0,6,FALSE,FALSE,FALSE
"157",2479106,1,"MP",61,"raymive",0,8,5,7,61,1,7,FALSE,FALSE,FALSE
"158",2479106,1,"MP",62,"ceakie",0,8,4,8,62,0,7,FALSE,FALSE,FALSE
"159",2479106,1,"MP",64,"coctee",1,7,1,7,64,0,7,FALSE,FALSE,FALSE
"160",2479106,1,"MP",67,"lopel",1,8,5,6,67,0,8,FALSE,FALSE,FALSE
"161",2581948,2,"MM",1,"winpen",1,7,4,5,1,0,3,FALSE,FALSE,FALSE
