"","ID","PublicID","gender","Age","category"
"388",3322705,"azx5yt91","Female",13.9166666666667,"12-14"
"389",3322833,"mpa77yya","Female",14.25,"14-16"
"390",3323940,"r7y1wd7q","Male",15.6666666666667,"14-16"
"391",3324566,"ii0t0cx2","Female",13.5833333333333,"12-14"
"392",3326542,"us0azm4i","Male",14.9166666666667,"14-16"
"393",3326730,"ycbtvstq","Female",14.9166666666667,"14-16"
"394",3326824,"yjo87j73","Female",14.9166666666667,"14-16"
"395",3326831,"6dblx24m","Male",14.0833333333333,"14-16"
"396",3327625,"pbmf3z38","Female",15.5833333333333,"14-16"
"397",3327712,"0gdmgpud","Female",12.9166666666667,"12-14"
"398",3327981,"fsgw47ib","Male",15.6666666666667,"14-16"
"399",3328415,"qtj32onf","Female",15.4166666666667,"14-16"
"400",3329152,"gso2mubj","Female",13.8333333333333,"12-14"
"401",3329832,"rad7hyfc","Female",15.3333333333333,"14-16"
"402",3329977,"za3c2cqt","Female",15.0833333333333,"14-16"
"403",3330018,"kdmx0x98","Rather not say",14.6666666666667,"14-16"
"404",3329933,"519146zy","Male",13.1666666666667,"12-14"
"405",3332422,"rqb7frcw","Male",10.6666666666667,"10-12"
"406",3334102,"fbfuik8k","Male",14.8333333333333,"14-16"
"407",3335884,"y6h5ujrn","Male",13.6666666666667,"12-14"
"408",3336054,"avrlazw4","Female",14.9166666666667,"14-16"
"409",3343804,"bzc6tns6","Male",15.9166666666667,"14-16"
"410",3346467,"w5uocfo5","Male",10.6666666666667,"10-12"
"411",3348534,"xzv5aivm","Female",14.25,"14-16"
"412",3349345,"rs3py8d8","Female",13.0833333333333,"12-14"
"413",3355501,"7a17526r","Female",13.0833333333333,"12-14"
"414",3372038,"lswfxwln","Male",14.5,"14-16"
"415",3374686,"fxg2uyo8","Female",10.6666666666667,"10-12"
"416",3388693,"h1ehzdil","Female",12.5,"12-14"
"417",3389406,"xe1a38x6","Male",15.5,"14-16"
"418",3393977,"j5mlyi4v","Female",12.5,"12-14"
"419",3397900,"kz8apjvx","Male",14.9166666666667,"14-16"
"420",3399870,"x23z8ck9","Female",17.0833333333333,"16-18"
"421",3400906,"g5w5turw","Female",14.75,"14-16"
